word,tag,wn_label,mw_label,comb_label
years,NNS,neutral,neutral,neutral
nations,NNS,neutral,neutral,neutral
portion,NN,neutral,neutral,neutral
faith,NN,neutral,neutral,neutral
world,NN,neutral,neutral,neutral
conference,NN,neutral,neutral,neutral
islands,NNS,neutral,neutral,neutral
missionaries,NNS,neutral,neutral,neutral
settlers,NNS,neutral,neutral,neutral
waves,NNS,neutral,neutral,neutral
period,NN,neutral,neutral,neutral
state,NN,neutral,neutral,neutral
religion,NN,neutral,neutral,neutral
today,NN,neutral,neutral,neutral
context,NN,neutral,neutral,neutral
explorers,NNS,neutral,neutral,neutral
spice,NN,neutral,neutral,neutral
trade,NN,neutral,neutral,neutral
civilizations,NNS,neutral,neutral,neutral
historians,NNS,neutral,neutral,neutral
island,NN,neutral,neutral,neutral
location,NN,neutral,neutral,neutral
port,NN,neutral,neutral,neutral
diarist,NN,neutral,neutral,neutral
expedition,NN,neutral,neutral,neutral
effort,NN,neutral,neutral,neutral
conflict,NN,neutral,neutral,neutral
colonies,NNS,neutral,neutral,neutral
natives,NNS,neutral,neutral,neutral
conquest,NN,neutral,neutral,neutral
foundations,NNS,neutral,neutral,neutral
evangelization,NN,not_found,neutral,neutral
region,NN,neutral,neutral,neutral
church,NN,neutral,neutral,neutral
apostle,NN,neutral,neutral,neutral
chaplain,NN,neutral,neutral,neutral
north,NN,neutral,neutral,neutral
regions,NNS,neutral,neutral,neutral
encomienda,NN,not_found,neutral,neutral
tribute,NN,neutral,neutral,neutral
encomendero,NN,not_found,neutral,neutral
return,NN,neutral,neutral,neutral
enemies,NNS,neutral,neutral,neutral
clergymen,NNS,masc,masc,masc
powers,NNS,neutral,neutral,neutral
resistance,NN,neutral,neutral,neutral
geography,NN,neutral,neutral,neutral
differences,NNS,neutral,neutral,neutral
lifestyle,NN,neutral,neutral,neutral
influence,NN,neutral,neutral,neutral
ways,NNS,neutral,neutral,neutral
limitations,NNS,neutral,neutral,neutral
barangays,NNS,not_found,neutral,neutral
kinship,NN,neutral,neutral,neutral
families,NNS,neutral,neutral,neutral
barangay,NN,not_found,neutral,neutral
caste,NN,neutral,neutral,neutral
sub,NN,neutral,neutral,neutral
lords,NNS,neutral,masc,neutral
kings,NNS,neutral,neutral,neutral
datus,NNS,not_found,neutral,neutral
rajas,NNS,neutral,neutral,neutral
knight,NN,neutral,masc,neutral
freedmen,NNS,masc,masc,masc
alipin,NN,not_found,not_found,not_found
arrangement,NN,neutral,neutral,neutral
slavery,NN,neutral,neutral,neutral
intermarriage,NN,neutral,neutral,neutral
privileges,NNS,neutral,neutral,neutral
labour,NN,neutral,neutral,neutral
interpretation,NN,neutral,neutral,neutral
advantage,NN,neutral,neutral,neutral
polygyny,NN,fem,fem,fem
chieftains,NNS,neutral,neutral,neutral
divorce,NN,neutral,neutral,neutral
remarriage,NN,neutral,neutral,neutral
illness,NN,neutral,neutral,neutral
infertility,NN,neutral,neutral,neutral
potential,NN,neutral,neutral,neutral
spouse,NN,neutral,neutral,neutral
practices,NNS,neutral,neutral,neutral
dowries,NNS,neutral,fem,neutral
bride,NN,fem,fem,fem
price,NN,neutral,neutral,neutral
groom,NN,masc,masc,masc
gold,NN,neutral,neutral,neutral
family,NN,neutral,neutral,neutral
custom,NN,neutral,neutral,neutral
act,NN,neutral,neutral,neutral
daughter,NN,fem,fem,fem
household,NN,neutral,neutral,neutral
sex,NN,neutral,neutral,neutral
beliefs,NNS,neutral,neutral,neutral
faiths,NNS,neutral,neutral,neutral
forms,NNS,neutral,neutral,neutral
creator,NN,neutral,neutral,neutral
deity,NN,neutral,neutral,neutral
gods,NNS,masc,masc,masc
goddesses,NNS,fem,fem,fem
nature,NN,neutral,neutral,neutral
spirits,NNS,neutral,neutral,neutral
ancestors,NNS,neutral,neutral,neutral
sacrifices,NNS,neutral,neutral,neutral
drinking,NN,neutral,neutral,neutral
rituals,NNS,neutral,neutral,neutral
illnesses,NNS,neutral,neutral,neutral
superstition,NN,neutral,neutral,neutral
path,NN,neutral,neutral,neutral
negotiation,NN,neutral,neutral,neutral
freemen,NNS,masc,masc,masc
rulers,NNS,neutral,neutral,neutral
rule,NN,neutral,neutral,neutral
king,NN,neutral,masc,neutral
pirates,NNS,neutral,neutral,neutral
factors,NNS,neutral,neutral,neutral
attempts,NNS,neutral,neutral,neutral
archipelago,NN,neutral,neutral,neutral
fact,NN,neutral,neutral,neutral
route,NN,neutral,neutral,neutral
journey,NN,neutral,neutral,neutral
clergy,NNS,neutral,neutral,neutral
opportunity,NN,neutral,neutral,neutral
climate,NN,neutral,neutral,neutral
mercantilism,NN,neutral,neutral,neutral
shops,NNS,neutral,neutral,neutral
bazaar,NN,neutral,neutral,neutral
silk,NN,neutral,neutral,neutral
goods,NNS,neutral,neutral,neutral
silver,NN,neutral,neutral,neutral
revolts,NNS,neutral,neutral,neutral
influx,NN,neutral,neutral,neutral
christianization,NN,neutral,neutral,neutral
challenges,NNS,neutral,neutral,neutral
dispersion,NN,neutral,neutral,neutral
languages,NNS,neutral,neutral,neutral
dialects,NNS,neutral,neutral,neutral
isolation,NN,neutral,neutral,neutral
language,NN,neutral,neutral,neutral
privateering,NN,not_found,neutral,neutral
slave,NN,neutral,neutral,neutral
disruption,NN,neutral,neutral,neutral
warfare,NN,neutral,neutral,neutral
soldiers,NNS,neutral,neutral,neutral
networks,NNS,neutral,neutral,neutral
fortresses,NNS,neutral,neutral,neutral
allies,NNS,neutral,neutral,neutral
war,NN,neutral,neutral,neutral
slavers,NNS,neutral,neutral,neutral
drain,NN,neutral,neutral,neutral
vice,NN,neutral,neutral,neutral
royalty,NN,neutral,neutral,neutral
lieu,NN,neutral,neutral,neutral
crown,NN,neutral,neutral,neutral
congregations,NNS,neutral,neutral,neutral
orders,NNS,neutral,neutral,neutral
friars,NNS,masc,neutral,neutral
task,NN,neutral,neutral,neutral
efforts,NNS,neutral,neutral,neutral
actions,NNS,neutral,neutral,neutral
sign,NN,neutral,neutral,neutral
barbarism,NN,neutral,neutral,neutral
understanding,NN,neutral,neutral,neutral
coercion,NN,neutral,neutral,neutral
layout,NN,neutral,neutral,neutral
gridiron,NN,neutral,neutral,neutral
form,NN,neutral,neutral,neutral
navigation,NN,neutral,neutral,neutral
order,NN,neutral,neutral,neutral
cabecera,NN,not_found,neutral,neutral
capital,NN,neutral,neutral,neutral
parish,NN,neutral,neutral,neutral
chapels,NNS,neutral,neutral,neutral
nuptials,NNS,neutral,neutral,neutral
extent,NN,neutral,neutral,neutral
obligation,NN,neutral,neutral,neutral
connection,NN,neutral,neutral,neutral
rice,NN,neutral,neutral,neutral
fields,NNS,neutral,neutral,neutral
resources,NNS,neutral,neutral,neutral
environment,NN,neutral,neutral,neutral
tributes,NNS,neutral,neutral,neutral
strategy,NN,neutral,neutral,neutral
scions,NNS,neutral,neutral,neutral
monarchs,NNS,neutral,neutral,neutral
doctrine,NN,neutral,neutral,neutral
theory,NN,neutral,neutral,neutral
elders,NNS,neutral,neutral,neutral
nobleman,NN,masc,masc,masc
subjects,NNS,neutral,neutral,neutral
progress,NN,neutral,neutral,neutral
concepts,NNS,neutral,neutral,neutral
sacraments,NNS,neutral,neutral,neutral
baptism,NN,neutral,neutral,neutral
ailments,NNS,neutral,neutral,neutral
concept,NN,neutral,neutral,neutral
sanctity,NN,neutral,neutral,neutral
monogamy,NN,neutral,neutral,neutral
tradition,NN,neutral,neutral,neutral
dowry,NN,neutral,fem,neutral
labels,NNS,neutral,neutral,neutral
heresy,NN,neutral,neutral,neutral
everyone,NN,not_found,neutral,neutral
confessionario,NN,not_found,not_found,not_found
text,NN,neutral,neutral,neutral
aid,NN,neutral,neutral,neutral
rite,NN,neutral,neutral,neutral
meaning,NN,neutral,neutral,neutral
locals,NNS,neutral,neutral,neutral
excesses,NNS,neutral,neutral,neutral
communion,NN,neutral,neutral,neutral
cause,NN,neutral,neutral,neutral
evangelism,NN,neutral,neutral,neutral
catechism,NN,neutral,neutral,neutral
alphabet,NN,neutral,neutral,neutral
prayers,NNS,neutral,neutral,neutral
sovereignty,NN,neutral,neutral,neutral
separation,NN,neutral,neutral,neutral
establishment,NN,neutral,neutral,neutral
era,NN,neutral,neutral,neutral
decade,NN,neutral,neutral,neutral
bishop,NN,neutral,neutral,neutral
provision,NN,neutral,neutral,neutral
sentences,NNS,neutral,neutral,neutral
exercise,NN,neutral,neutral,neutral
profession,NN,neutral,neutral,neutral
worship,NN,neutral,neutral,neutral
discrimination,NN,neutral,neutral,neutral
preference,NN,neutral,neutral,neutral
test,NN,neutral,neutral,neutral
wall,NN,neutral,neutral,neutral
times,NNS,neutral,neutral,neutral
authorities,NNS,neutral,neutral,neutral
dictator,NN,neutral,neutral,neutral
relations,NNS,masc,neutral,neutral
bishops,NNS,neutral,neutral,neutral
turning,NN,neutral,neutral,neutral
result,NN,neutral,neutral,neutral
rebels,NNS,neutral,neutral,neutral
opinions,NNS,neutral,neutral,neutral
guarantee,NN,neutral,neutral,neutral
freedom,NN,neutral,neutral,neutral
leaders,NNS,neutral,neutral,neutral
practice,NN,neutral,neutral,neutral
orthodoxy,NN,neutral,neutral,neutral
killings,NNS,neutral,neutral,neutral
approval,NN,neutral,neutral,neutral
bloodshed,NN,neutral,neutral,neutral
drug,NN,neutral,neutral,neutral
churches,NNS,neutral,neutral,neutral
sanctuary,NN,neutral,neutral,neutral
violence,NN,neutral,neutral,neutral
criticism,NN,neutral,neutral,neutral
prohibition,NN,neutral,neutral,neutral
gatherings,NNS,neutral,neutral,neutral
quarantine,NN,neutral,neutral,neutral
activities,NNS,neutral,neutral,neutral
diocese,NN,neutral,neutral,neutral
jurisdiction,NN,neutral,neutral,neutral
lockdown,NN,neutral,neutral,neutral
faithful,NN,neutral,neutral,neutral
seminars,NNS,neutral,neutral,neutral
