no_defs,no_words,seed_pairs,accuracy_merriam,accuracy_wordnet,accuracy_dictcom,accuracy_comb
2,5,2,0.61,0.69,0.66,0.66
2,5,3,0.66,0.74,0.73,0.73
2,5,4,0.69,0.72,0.75,0.75
2,5,5,0.76,0.76,0.8,0.81
2,5,6,0.78,0.76,0.81,0.81
2,5,7,0.78,0.75,0.81,0.81
2,5,8,0.78,0.75,0.81,0.81
2,10,2,0.61,0.72,0.69,0.69
2,10,3,0.67,0.76,0.75,0.75
2,10,4,0.7,0.77,0.78,0.78
2,10,5,0.77,0.83,0.84,0.82
2,10,6,0.78,0.81,0.84,0.82
2,10,7,0.78,0.81,0.84,0.82
2,10,8,0.78,0.81,0.84,0.82
2,15,2,0.61,0.7,0.7,0.69
2,15,3,0.67,0.75,0.75,0.75
2,15,4,0.7,0.76,0.78,0.78
2,15,5,0.77,0.82,0.84,0.83
2,15,6,0.78,0.82,0.84,0.83
2,15,7,0.78,0.82,0.84,0.83
2,15,8,0.78,0.82,0.84,0.83
2,20,2,0.61,0.7,0.7,0.69
2,20,3,0.67,0.75,0.76,0.75
2,20,4,0.7,0.76,0.79,0.78
2,20,5,0.77,0.82,0.86,0.84
2,20,6,0.78,0.82,0.86,0.84
2,20,7,0.78,0.82,0.86,0.84
2,20,8,0.78,0.82,0.86,0.84
2,25,2,0.61,0.7,0.7,0.69
2,25,3,0.67,0.75,0.76,0.75
2,25,4,0.7,0.76,0.79,0.78
2,25,5,0.77,0.82,0.86,0.84
2,25,6,0.78,0.82,0.86,0.84
2,25,7,0.78,0.82,0.86,0.84
2,25,8,0.78,0.82,0.86,0.84
2,30,2,0.61,0.7,0.7,0.69
2,30,3,0.67,0.75,0.75,0.75
2,30,4,0.7,0.76,0.78,0.78
2,30,5,0.77,0.82,0.85,0.84
2,30,6,0.78,0.82,0.85,0.84
2,30,7,0.78,0.82,0.85,0.84
2,30,8,0.78,0.82,0.85,0.84
2,35,2,0.61,0.7,0.7,0.69
2,35,3,0.67,0.75,0.75,0.75
2,35,4,0.7,0.76,0.78,0.78
2,35,5,0.77,0.82,0.85,0.84
2,35,6,0.78,0.82,0.85,0.84
2,35,7,0.78,0.82,0.85,0.84
2,35,8,0.78,0.82,0.85,0.84
3,5,2,0.61,0.69,0.67,0.67
3,5,3,0.66,0.75,0.74,0.74
3,5,4,0.69,0.72,0.75,0.76
3,5,5,0.76,0.77,0.81,0.81
3,5,6,0.78,0.77,0.81,0.81
3,5,7,0.78,0.76,0.81,0.81
3,5,8,0.78,0.76,0.81,0.81
3,10,2,0.61,0.72,0.71,0.7
3,10,3,0.67,0.77,0.77,0.76
