no_defs,no_words,seed_pairs,accuracy_merriam,accuracy_wordnet,accuracy_dictcom,accuracy_comb
2,35,4,0.71,0.76,0.78,0.79
2,35,5,0.77,0.82,0.85,0.85
2,35,6,0.78,0.82,0.85,0.85
2,35,7,0.78,0.82,0.85,0.85
2,35,8,0.78,0.82,0.85,0.85
3,5,2,0.63,0.69,0.67,0.68
3,5,3,0.68,0.75,0.74,0.75
3,5,4,0.71,0.72,0.75,0.77
3,5,5,0.77,0.77,0.81,0.82
3,5,6,0.78,0.77,0.81,0.82
3,5,7,0.78,0.76,0.81,0.82
3,5,8,0.78,0.76,0.81,0.82
3,10,2,0.62,0.72,0.71,0.71
3,10,3,0.68,0.77,0.77,0.77
3,10,4,0.71,0.78,0.8,0.8
3,10,5,0.77,0.84,0.85,0.84
3,10,6,0.78,0.82,0.84,0.84
3,10,7,0.78,0.82,0.84,0.84
3,10,8,0.78,0.82,0.84,0.84
3,15,2,0.62,0.71,0.72,0.72
3,15,3,0.68,0.76,0.77,0.78
3,15,4,0.71,0.77,0.8,0.81
3,15,5,0.77,0.83,0.85,0.85
3,15,6,0.78,0.83,0.84,0.84
3,15,7,0.78,0.83,0.84,0.84
3,15,8,0.78,0.83,0.84,0.84
3,20,2,0.62,0.71,0.72,0.72
3,20,3,0.68,0.76,0.78,0.78
3,20,4,0.71,0.77,0.81,0.81
3,20,5,0.77,0.83,0.86,0.87
3,20,6,0.78,0.83,0.85,0.86
3,20,7,0.78,0.83,0.85,0.86
3,20,8,0.78,0.83,0.85,0.86
3,25,2,0.62,0.71,0.72,0.72
3,25,3,0.68,0.76,0.78,0.78
3,25,4,0.71,0.77,0.81,0.81
3,25,5,0.77,0.83,0.86,0.87
3,25,6,0.78,0.83,0.85,0.86
3,25,7,0.78,0.83,0.85,0.86
3,25,8,0.78,0.83,0.85,0.86
3,30,2,0.62,0.71,0.72,0.72
3,30,3,0.68,0.76,0.77,0.78
3,30,4,0.71,0.77,0.8,0.81
3,30,5,0.77,0.83,0.85,0.87
3,30,6,0.78,0.83,0.84,0.86
3,30,7,0.78,0.83,0.84,0.86
3,30,8,0.78,0.83,0.84,0.86
3,35,2,0.62,0.71,0.72,0.72
3,35,3,0.68,0.76,0.77,0.78
3,35,4,0.71,0.77,0.8,0.81
3,35,5,0.77,0.83,0.85,0.87
3,35,6,0.78,0.83,0.84,0.86
3,35,7,0.78,0.83,0.84,0.86
3,35,8,0.78,0.83,0.84,0.86
4,5,2,0.63,0.69,0.68,0.68
4,5,3,0.68,0.75,0.75,0.75
4,5,4,0.71,0.72,0.76,0.77
4,5,5,0.77,0.77,0.81,0.82
4,5,6,0.78,0.77,0.81,0.82
4,5,7,0.78,0.76,0.81,0.82
4,5,8,0.78,0.76,0.81,0.82
4,10,2,0.62,0.72,0.71,0.71
4,10,3,0.68,0.77,0.77,0.77
4,10,4,0.71,0.78,0.8,0.8
4,10,5,0.77,0.84,0.86,0.85
4,10,6,0.78,0.82,0.85,0.84
4,10,7,0.78,0.82,0.85,0.84
4,10,8,0.78,0.82,0.85,0.84
4,15,2,0.62,0.71,0.72,0.72
4,15,3,0.68,0.76,0.77,0.78
4,15,4,0.71,0.77,0.8,0.81
4,15,5,0.77,0.83,0.86,0.86
4,15,6,0.78,0.83,0.85,0.85
4,15,7,0.78,0.83,0.85,0.85
4,15,8,0.78,0.83,0.85,0.85
4,20,2,0.62,0.71,0.72,0.72
4,20,3,0.68,0.76,0.78,0.78
4,20,4,0.71,0.77,0.81,0.81
4,20,5,0.77,0.83,0.87,0.87
4,20,6,0.78,0.83,0.86,0.87
4,20,7,0.78,0.83,0.86,0.87
4,20,8,0.78,0.83,0.86,0.87
4,25,2,0.62,0.71,0.72,0.72
4,25,3,0.68,0.76,0.78,0.78
4,25,4,0.71,0.77,0.81,0.81
4,25,5,0.77,0.83,0.87,0.87
4,25,6,0.78,0.83,0.86,0.87
4,25,7,0.78,0.83,0.86,0.87
4,25,8,0.78,0.83,0.86,0.87
4,30,2,0.62,0.71,0.72,0.72
4,30,3,0.68,0.76,0.77,0.78
4,30,4,0.71,0.77,0.8,0.81
4,30,5,0.77,0.83,0.86,0.87
4,30,6,0.78,0.83,0.85,0.87
4,30,7,0.78,0.83,0.85,0.87
4,30,8,0.78,0.83,0.85,0.87
4,35,2,0.62,0.71,0.72,0.72
4,35,3,0.68,0.76,0.77,0.78
4,35,4,0.71,0.77,0.8,0.81
4,35,5,0.77,0.83,0.86,0.87
4,35,6,0.78,0.83,0.85,0.87
4,35,7,0.78,0.83,0.85,0.87
4,35,8,0.78,0.83,0.85,0.87
5,5,2,0.63,0.69,0.68,0.67
5,5,3,0.68,0.74,0.75,0.74
5,5,4,0.71,0.72,0.76,0.76
5,5,5,0.77,0.76,0.81,0.81
5,5,6,0.78,0.76,0.81,0.81
5,5,7,0.78,0.75,0.81,0.81
5,5,8,0.78,0.75,0.81,0.81
5,10,2,0.62,0.72,0.71,0.7
5,10,3,0.68,0.76,0.77,0.76
5,10,4,0.71,0.77,0.8,0.79
5,10,5,0.77,0.83,0.86,0.84
5,10,6,0.78,0.81,0.85,0.84
5,10,7,0.78,0.81,0.85,0.84
5,10,8,0.78,0.81,0.85,0.84
5,15,2,0.62,0.7,0.72,0.71
5,15,3,0.68,0.75,0.77,0.77
5,15,4,0.71,0.76,0.8,0.8
5,15,5,0.77,0.82,0.86,0.85
5,15,6,0.78,0.82,0.85,0.84
5,15,7,0.78,0.82,0.85,0.84
5,15,8,0.78,0.82,0.85,0.84
5,20,2,0.62,0.7,0.72,0.71
5,20,3,0.68,0.75,0.78,0.77
5,20,4,0.71,0.76,0.81,0.8
5,20,5,0.77,0.82,0.88,0.87
5,20,6,0.78,0.82,0.87,0.86
5,20,7,0.78,0.82,0.87,0.86
5,20,8,0.78,0.82,0.87,0.86
5,25,2,0.62,0.7,0.72,0.71
5,25,3,0.68,0.75,0.78,0.77
5,25,4,0.71,0.76,0.81,0.8
5,25,5,0.77,0.82,0.88,0.87
5,25,6,0.78,0.82,0.87,0.86
5,25,7,0.78,0.82,0.87,0.86
5,25,8,0.78,0.82,0.87,0.86
5,30,2,0.62,0.7,0.72,0.71
5,30,3,0.68,0.75,0.77,0.77
5,30,4,0.71,0.76,0.8,0.8
5,30,5,0.77,0.82,0.87,0.87
5,30,6,0.78,0.82,0.87,0.86
5,30,7,0.78,0.82,0.87,0.86
5,30,8,0.78,0.82,0.87,0.86
5,35,2,0.62,0.7,0.72,0.71
5,35,3,0.68,0.75,0.77,0.77
5,35,4,0.71,0.76,0.8,0.8
5,35,5,0.77,0.82,0.87,0.87
5,35,6,0.78,0.82,0.87,0.86
5,35,7,0.78,0.82,0.87,0.86
5,35,8,0.78,0.82,0.87,0.86
6,5,2,0.63,0.69,0.68,0.67
6,5,3,0.68,0.74,0.75,0.74
6,5,4,0.71,0.72,0.76,0.76
6,5,5,0.77,0.76,0.81,0.81
6,5,6,0.78,0.76,0.81,0.81
6,5,7,0.78,0.75,0.81,0.81
6,5,8,0.78,0.75,0.81,0.81
6,10,2,0.62,0.72,0.71,0.7
6,10,3,0.68,0.76,0.77,0.76
6,10,4,0.71,0.77,0.8,0.79
6,10,5,0.77,0.83,0.86,0.84
6,10,6,0.78,0.81,0.85,0.84
6,10,7,0.78,0.81,0.85,0.84
6,10,8,0.78,0.81,0.85,0.84
6,15,2,0.62,0.7,0.72,0.71
6,15,3,0.68,0.75,0.77,0.77
6,15,4,0.71,0.76,0.8,0.8
6,15,5,0.77,0.82,0.86,0.85
6,15,6,0.78,0.82,0.85,0.84
6,15,7,0.78,0.82,0.85,0.84
6,15,8,0.78,0.82,0.85,0.84
6,20,2,0.62,0.7,0.72,0.71
6,20,3,0.68,0.75,0.78,0.77
6,20,4,0.71,0.76,0.81,0.8
6,20,5,0.77,0.82,0.88,0.87
6,20,6,0.78,0.82,0.87,0.86
6,20,7,0.78,0.82,0.87,0.86
6,20,8,0.78,0.82,0.87,0.86
6,25,2,0.62,0.7,0.72,0.71
6,25,3,0.68,0.75,0.78,0.77
6,25,4,0.71,0.76,0.81,0.8
6,25,5,0.77,0.82,0.88,0.87
6,25,6,0.78,0.82,0.87,0.86
6,25,7,0.78,0.82,0.87,0.86
6,25,8,0.78,0.82,0.87,0.86
6,30,2,0.62,0.7,0.72,0.71
6,30,3,0.68,0.75,0.77,0.77
6,30,4,0.71,0.76,0.8,0.8
6,30,5,0.77,0.82,0.87,0.87
6,30,6,0.78,0.82,0.87,0.86
6,30,7,0.78,0.82,0.87,0.86
6,30,8,0.78,0.82,0.87,0.86
6,35,2,0.62,0.7,0.72,0.71
6,35,3,0.68,0.75,0.77,0.77
6,35,4,0.71,0.76,0.8,0.8
6,35,5,0.77,0.82,0.87,0.87
6,35,6,0.78,0.82,0.87,0.86
6,35,7,0.78,0.82,0.87,0.86
6,35,8,0.78,0.82,0.87,0.86
7,5,2,0.63,0.69,0.68,0.67
7,5,3,0.68,0.74,0.75,0.74
7,5,4,0.71,0.72,0.76,0.76
7,5,5,0.77,0.76,0.81,0.81
7,5,6,0.78,0.76,0.81,0.81
7,5,7,0.78,0.75,0.81,0.81
7,5,8,0.78,0.75,0.81,0.81
7,10,2,0.62,0.72,0.71,0.7
7,10,3,0.68,0.76,0.77,0.76
7,10,4,0.71,0.77,0.8,0.79
7,10,5,0.77,0.83,0.87,0.85
7,10,6,0.78,0.81,0.86,0.84
7,10,7,0.78,0.81,0.86,0.84
7,10,8,0.78,0.81,0.86,0.84
7,15,2,0.62,0.7,0.72,0.71
7,15,3,0.68,0.75,0.77,0.77
7,15,4,0.71,0.76,0.8,0.8
7,15,5,0.77,0.82,0.87,0.86
7,15,6,0.78,0.82,0.86,0.85
7,15,7,0.78,0.82,0.86,0.85
7,15,8,0.78,0.82,0.86,0.85
7,20,2,0.62,0.7,0.72,0.71
7,20,3,0.68,0.75,0.78,0.77
7,20,4,0.71,0.76,0.81,0.8
7,20,5,0.77,0.82,0.89,0.87
7,20,6,0.78,0.82,0.88,0.87
7,20,7,0.78,0.82,0.88,0.87
7,20,8,0.78,0.82,0.88,0.87
7,25,2,0.62,0.7,0.72,0.71
7,25,3,0.68,0.75,0.78,0.77
7,25,4,0.71,0.76,0.81,0.8
7,25,5,0.77,0.82,0.89,0.87
7,25,6,0.78,0.82,0.88,0.87
7,25,7,0.78,0.82,0.88,0.87
7,25,8,0.78,0.82,0.88,0.87
7,30,2,0.62,0.7,0.72,0.71
7,30,3,0.68,0.75,0.77,0.77
7,30,4,0.71,0.76,0.8,0.8
7,30,5,0.77,0.82,0.88,0.87
7,30,6,0.78,0.82,0.87,0.87
7,30,7,0.78,0.82,0.87,0.87
7,30,8,0.78,0.82,0.87,0.87
7,35,2,0.62,0.7,0.72,0.71
7,35,3,0.68,0.75,0.77,0.77
7,35,4,0.71,0.76,0.8,0.8
7,35,5,0.77,0.82,0.88,0.87
7,35,6,0.78,0.82,0.87,0.87
7,35,7,0.78,0.82,0.87,0.87
7,35,8,0.78,0.82,0.87,0.87
8,5,2,0.63,0.69,0.68,0.67
8,5,3,0.68,0.74,0.75,0.74
8,5,4,0.71,0.72,0.76,0.76
8,5,5,0.77,0.76,0.81,0.81
8,5,6,0.78,0.76,0.81,0.81
8,5,7,0.78,0.75,0.81,0.81
8,5,8,0.78,0.75,0.81,0.81
8,10,2,0.62,0.72,0.71,0.7
8,10,3,0.68,0.76,0.77,0.76
8,10,4,0.71,0.77,0.8,0.79
8,10,5,0.77,0.83,0.87,0.85
8,10,6,0.78,0.81,0.86,0.84
8,10,7,0.78,0.81,0.86,0.84
8,10,8,0.78,0.81,0.86,0.84
8,15,2,0.62,0.7,0.72,0.71
8,15,3,0.68,0.75,0.77,0.77
8,15,4,0.71,0.76,0.8,0.8
8,15,5,0.77,0.82,0.87,0.86
8,15,6,0.78,0.82,0.86,0.85
8,15,7,0.78,0.82,0.86,0.85
8,15,8,0.78,0.82,0.86,0.85
8,20,2,0.62,0.7,0.72,0.71
8,20,3,0.68,0.75,0.78,0.77
8,20,4,0.71,0.76,0.81,0.8
8,20,5,0.77,0.82,0.89,0.87
8,20,6,0.78,0.82,0.88,0.87
8,20,7,0.78,0.82,0.88,0.87
8,20,8,0.78,0.82,0.88,0.87
8,25,2,0.62,0.7,0.72,0.71
8,25,3,0.68,0.75,0.78,0.77
8,25,4,0.71,0.76,0.81,0.8
8,25,5,0.77,0.82,0.89,0.87
8,25,6,0.78,0.82,0.88,0.87
8,25,7,0.78,0.82,0.88,0.87
8,25,8,0.78,0.82,0.88,0.87
8,30,2,0.62,0.7,0.72,0.71
8,30,3,0.68,0.75,0.77,0.77
8,30,4,0.71,0.76,0.8,0.8
8,30,5,0.77,0.82,0.88,0.87
8,30,6,0.78,0.82,0.87,0.87
8,30,7,0.78,0.82,0.87,0.87
8,30,8,0.78,0.82,0.87,0.87
8,35,2,0.62,0.7,0.72,0.71
8,35,3,0.68,0.75,0.77,0.77
8,35,4,0.71,0.76,0.8,0.8
8,35,5,0.77,0.82,0.88,0.87
8,35,6,0.78,0.82,0.87,0.87
8,35,7,0.78,0.82,0.87,0.87
8,35,8,0.78,0.82,0.87,0.87
9,5,2,0.63,0.69,0.68,0.67
9,5,3,0.68,0.74,0.75,0.74
9,5,4,0.71,0.72,0.76,0.76
9,5,5,0.77,0.76,0.81,0.81
9,5,6,0.78,0.76,0.81,0.81
9,5,7,0.78,0.75,0.81,0.81
9,5,8,0.78,0.75,0.81,0.81
9,10,2,0.62,0.72,0.71,0.7
9,10,3,0.68,0.76,0.77,0.76
9,10,4,0.71,0.77,0.8,0.79
9,10,5,0.77,0.83,0.87,0.85
9,10,6,0.78,0.81,0.86,0.84
9,10,7,0.78,0.81,0.86,0.84
9,10,8,0.78,0.81,0.86,0.84
9,15,2,0.62,0.7,0.72,0.71
9,15,3,0.68,0.75,0.77,0.77
9,15,4,0.71,0.76,0.8,0.8
9,15,5,0.77,0.82,0.87,0.86
9,15,6,0.78,0.82,0.86,0.85
9,15,7,0.78,0.82,0.86,0.85
9,15,8,0.78,0.82,0.86,0.85
9,20,2,0.62,0.7,0.72,0.71
9,20,3,0.68,0.75,0.78,0.77
9,20,4,0.71,0.76,0.81,0.8
9,20,5,0.77,0.82,0.89,0.87
9,20,6,0.78,0.82,0.88,0.87
9,20,7,0.78,0.82,0.88,0.87
9,20,8,0.78,0.82,0.88,0.87
9,25,2,0.62,0.7,0.72,0.71
9,25,3,0.68,0.75,0.78,0.77
9,25,4,0.71,0.76,0.81,0.8
9,25,5,0.77,0.82,0.89,0.87
9,25,6,0.78,0.82,0.88,0.87
9,25,7,0.78,0.82,0.88,0.87
9,25,8,0.78,0.82,0.88,0.87
9,30,2,0.62,0.7,0.72,0.71
9,30,3,0.68,0.75,0.77,0.77
9,30,4,0.71,0.76,0.8,0.8
9,30,5,0.77,0.82,0.88,0.87
9,30,6,0.78,0.82,0.87,0.87
9,30,7,0.78,0.82,0.87,0.87
9,30,8,0.78,0.82,0.87,0.87
9,35,2,0.62,0.7,0.72,0.71
9,35,3,0.68,0.75,0.77,0.77
9,35,4,0.71,0.76,0.8,0.8
9,35,5,0.77,0.82,0.88,0.87
9,35,6,0.78,0.82,0.87,0.87
9,35,7,0.78,0.82,0.87,0.87
9,35,8,0.78,0.82,0.87,0.87
10,5,2,0.63,0.69,0.68,0.67
10,5,3,0.68,0.74,0.75,0.74
10,5,4,0.71,0.72,0.76,0.76
10,5,5,0.77,0.76,0.81,0.81
10,5,6,0.78,0.76,0.81,0.81
10,5,7,0.78,0.75,0.81,0.81
10,5,8,0.78,0.75,0.81,0.81
10,10,2,0.62,0.72,0.71,0.7
10,10,3,0.68,0.76,0.77,0.76
10,10,4,0.71,0.77,0.8,0.79
10,10,5,0.77,0.83,0.87,0.85
10,10,6,0.78,0.81,0.86,0.84
10,10,7,0.78,0.81,0.86,0.84
10,10,8,0.78,0.81,0.86,0.84
10,15,2,0.62,0.7,0.72,0.71
10,15,3,0.68,0.75,0.77,0.77
10,15,4,0.71,0.76,0.8,0.8
10,15,5,0.77,0.82,0.87,0.86
10,15,6,0.78,0.82,0.86,0.85
10,15,7,0.78,0.82,0.86,0.85
10,15,8,0.78,0.82,0.86,0.85
10,20,2,0.62,0.7,0.72,0.71
10,20,3,0.68,0.75,0.78,0.77
10,20,4,0.71,0.76,0.81,0.8
10,20,5,0.77,0.82,0.89,0.87
10,20,6,0.78,0.82,0.88,0.87
10,20,7,0.78,0.82,0.88,0.87
10,20,8,0.78,0.82,0.88,0.87
10,25,2,0.62,0.7,0.72,0.71
10,25,3,0.68,0.75,0.78,0.77
10,25,4,0.71,0.76,0.81,0.8
10,25,5,0.77,0.82,0.89,0.87
10,25,6,0.78,0.82,0.88,0.87
10,25,7,0.78,0.82,0.88,0.87
10,25,8,0.78,0.82,0.88,0.87
10,30,2,0.62,0.7,0.72,0.71
10,30,3,0.68,0.75,0.77,0.77
10,30,4,0.71,0.76,0.8,0.8
10,30,5,0.77,0.82,0.88,0.87
10,30,6,0.78,0.82,0.87,0.87
10,30,7,0.78,0.82,0.87,0.87
10,30,8,0.78,0.82,0.87,0.87
10,35,2,0.62,0.7,0.72,0.71
10,35,3,0.68,0.75,0.77,0.77
10,35,4,0.71,0.76,0.8,0.8
10,35,5,0.77,0.82,0.88,0.87
10,35,6,0.78,0.82,0.87,0.87
10,35,7,0.78,0.82,0.87,0.87
10,35,8,0.78,0.82,0.87,0.87
